CELEX,Directive name,Date of document,Date of effect,Amending,Country Code,Country,Measure Title,Transposition Deadline,Publication Date,Subject matter,Compliance_days,Compliance_weeks,Compliance_months
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz über eine Änderung des Elektrizitätswirtschaftsgesetzes, LGBl.Nr. 14/2022",2021-06-30,2022-02-22,"Energy, Environment",237.0,33.857142857142854,7.9
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Gesetz über eine Änderung des Raumplanungsgesetzes,2021-06-30,2023-12-07,"Energy, Environment",890.0,127.14285714285714,29.666666666666668
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz, mit dem das Kärntner Elektrizitätswirtschafts- und -organisationsgesetz 2011 geändert wird",2021-06-30,2021-12-15,"Energy, Environment",168.0,24.0,5.6
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz, mit dem das Wiener Elektrizitätswirtschaftsgesetz 2005 – WElWG 2005 geändert wird",2021-06-30,2021-12-13,"Energy, Environment",166.0,23.714285714285715,5.533333333333333
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz, mit dem das Wiener Elektrizitätswirtschaftsgesetz 2005 – WElWG 2005 und das Wiener Starkstromwegegesetz 1969 geändert werden",2021-06-30,2022-07-12,"Energy, Environment",377.0,53.857142857142854,12.566666666666666
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz, mit dem das Wiener Energie- und Klimarechts-Umsetzungsgesetz 2020 – WERUG 2020 geändert wird",2021-06-30,2022-07-08,"Energy, Environment",373.0,53.285714285714285,12.433333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz, mit dem die Kärntner Bauordnung 1996, die Kärntner Bauvorschriften, das Kärntner Aufzugsgesetz, das Klagenfurter Stadtrecht 1998 und das Kärntner Campingplatzgesetz geändert werden",2021-06-30,2021-05-14,"Energy, Environment",-47.0,-6.714285714285714,-1.5666666666666667
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Gesetz, mit dem die Kärntner Bauvorschriften und die Kärntner Bauordnung 1996 geändert werden",2021-06-30,2020-12-23,"Energy, Environment",-189.0,-27.0,-6.3
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Kärntner EAG-Paket-Ausführungsgesetz (Änderung des Kärntner Elektrizitätswirtschafts- und -organisationsgesetzes 2011 und des Kärntner Elektrizitätsgesetzes),2021-06-30,2022-11-07,"Energy, Environment",495.0,70.71428571428571,16.5
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Kärntner Landesverfassung - K-LVG,2021-06-30,2021-06-30,"Energy, Environment",0.0,0.0,0.0
